DeviceNo,,[25071720],[25071721],[25071722],[25071723],
DeviceInfo,,[],[],[],[],
DeviceRange,,[20M次],[20M次],[20M次],[20M次],
2025-07-27,19:51:18:784,05773,05751,05838,06684,
2025-07-27,19:51:19:033,05774,05823,05846,06687,
2025-07-27,19:51:19:283,05775,05853,05638,06618,
2025-07-27,19:51:19:528,05776,05842,04466,05606,
2025-07-27,19:51:19:778,05779,05750,04462,05820,
2025-07-27,19:51:20:023,05785,05759,04724,05828,
2025-07-27,19:51:20:286,05810,05831,04759,06037,
2025-07-27,19:51:20:535,05809,05835,05008,06053,
2025-07-27,19:51:20:781,05804,05834,04998,06100,
2025-07-27,19:51:21:027,05693,05813,04865,06109,
2025-07-27,19:51:21:276,05680,05592,04827,06157,
2025-07-27,19:51:21:522,05401,05494,04837,06163,
2025-07-27,19:51:21:775,05408,05487,05014,06269,
2025-07-27,19:51:22:025,05422,05467,05018,06278,
2025-07-27,19:51:22:285,05471,05453,05132,06357,
2025-07-27,19:51:22:552,05451,05263,05144,06363,
2025-07-27,19:51:22:797,05279,05122,05271,06423,
2025-07-27,19:51:23:046,05295,05129,05451,06505,
2025-07-27,19:51:23:292,05397,05131,05461,06514,
2025-07-27,19:51:23:542,05391,05066,05726,06600,
2025-07-27,19:51:23:789,05389,04442,05736,06607,
2025-07-27,19:51:24:037,05412,03400,05582,06731,
2025-07-27,19:51:24:302,05958,03397,04997,06813,
2025-07-27,19:51:24:549,06416,03398,04988,06818,
2025-07-27,19:51:24:797,06414,03401,04894,06820,
2025-07-27,19:51:25:048,06384,03453,04899,06819,
2025-07-27,19:51:25:296,06331,03534,05265,06579,
2025-07-27,19:51:25:544,05775,04591,05306,06584,
2025-07-27,19:51:25:790,05784,04618,05555,06610,
2025-07-27,19:51:26:038,05939,04951,05562,06610,
2025-07-27,19:51:26:302,05952,05169,05673,06613,
2025-07-27,19:51:26:552,06036,05185,05680,06617,
2025-07-27,19:51:26:799,06041,05325,05743,06622,
2025-07-27,19:51:27:046,06075,05337,05749,06628,
2025-07-27,19:51:27:294,06078,05450,05811,06632,
2025-07-27,19:51:27:542,06081,05543,05815,06638,
2025-07-27,19:51:27:791,06087,05551,05862,06644,
2025-07-27,19:51:28:036,06110,05622,05863,06649,
2025-07-27,19:51:28:300,06112,05628,05868,06653,
2025-07-27,19:51:28:548,06113,05691,05900,06654,
2025-07-27,19:51:28:797,06117,05745,05904,06658,
2025-07-27,19:51:29:047,06122,05750,05936,06660,
2025-07-27,19:51:29:295,06127,05755,05937,06663,
2025-07-27,19:51:29:541,06133,05810,05940,06664,
2025-07-27,19:51:29:790,06136,05817,05945,06666,
2025-07-27,19:51:30:039,06140,05864,05975,06668,
2025-07-27,19:51:30:300,06145,05867,05975,06670,
2025-07-27,19:51:30:547,06149,05910,05978,06672,
2025-07-27,19:51:30:793,06152,05913,05982,06672,
2025-07-27,19:51:31:040,06155,05951,05987,06674,
2025-07-27,19:51:31:288,06159,05953,06012,06675,
2025-07-27,19:51:31:553,06163,05956,06012,06676,
2025-07-27,19:51:31:803,06166,05995,06014,06677,
2025-07-27,19:51:32:064,06168,05997,06016,06678,
2025-07-27,19:51:32:311,06170,06002,06020,06679,
2025-07-27,19:51:32:560,06173,06032,06026,06679,
2025-07-27,19:51:32:807,06175,06034,06029,06680,
2025-07-27,19:51:33:058,06176,06039,06035,06681,
2025-07-27,19:51:33:305,06178,06073,06041,06681,
2025-07-27,19:51:33:552,06179,06075,06047,06682,
2025-07-27,19:51:33:817,06181,06079,06053,06683,
2025-07-27,19:51:34:191,06181,06079,06058,06683,
2025-07-27,19:51:34:438,06184,06110,06063,06684,
2025-07-27,19:51:34:686,06182,06113,06068,06684,
2025-07-27,19:51:34:932,06182,06118,06072,06685,
2025-07-27,19:51:35:179,06183,06121,06073,06685,
2025-07-27,19:51:35:429,06184,06147,06077,06686,
2025-07-27,19:51:35:677,06184,06149,06082,06686,
2025-07-27,19:51:35:928,06188,06153,06085,06687,
2025-07-27,19:51:36:191,06191,06158,06089,06687,
2025-07-27,19:51:36:441,06192,06161,06091,06688,
2025-07-27,19:51:36:689,06193,06168,06095,06689,
2025-07-27,19:51:36:937,06194,06175,06065,06674,
2025-07-27,19:51:37:185,06149,06172,03612,05515,
2025-07-27,19:51:37:436,05949,06172,03642,05542,
2025-07-27,19:51:37:685,05707,06164,04958,05954,
2025-07-27,19:51:37:933,05702,06115,05037,05977,
2025-07-27,19:51:38:183,05674,06116,05558,06248,
2025-07-27,19:51:38:432,05667,06119,05784,06394,
2025-07-27,19:51:38:679,05636,06121,05789,06405,
2025-07-27,19:51:38:928,05637,06126,05922,06493,
2025-07-27,19:51:39:189,05639,06132,05932,06497,
2025-07-27,19:51:39:438,05640,06135,05980,06517,
2025-07-27,19:51:39:684,05628,06134,05982,06519,
2025-07-27,19:51:39:932,05595,06132,05972,06507,
2025-07-27,19:51:40:180,05592,05787,04398,06107,
2025-07-27,19:51:40:429,05534,05681,04239,06107,
2025-07-27,19:51:40:678,05546,05246,04267,06133,
2025-07-27,19:51:40:940,05632,05793,05496,06375,
2025-07-27,19:51:41:189,05635,05798,05505,06493,
2025-07-27,19:51:41:436,05661,05903,05723,06501,
2025-07-27,19:51:41:685,05661,05910,05738,06565,
2025-07-27,19:51:41:933,05663,05971,05864,06570,
2025-07-27,19:51:42:180,05652,05974,05871,06569,
2025-07-27,19:51:42:429,05618,05970,05972,06183,
2025-07-27,19:51:42:681,04770,05909,05982,06193,
2025-07-27,19:51:42:928,04871,05912,06055,06293,
2025-07-27,19:51:43:191,04883,05938,06054,06297,
2025-07-27,19:51:43:438,05017,05947,06057,06388,
2025-07-27,19:51:43:685,05032,05993,06093,06398,
2025-07-27,19:51:43:931,05235,05994,06088,06478,
2025-07-27,19:51:44:178,05359,05980,05571,06482,
2025-07-27,19:51:44:439,05366,05655,05525,06527,
2025-07-27,19:51:44:690,05446,05639,04676,06533,
2025-07-27,19:51:44:939,05643,04894,04603,06584,
2025-07-27,19:51:45:189,05645,04930,04539,06585,
2025-07-27,19:51:45:436,05631,05553,05594,06593,
2025-07-27,19:51:45:683,05586,05732,05618,06639,
2025-07-27,19:51:45:929,05587,05736,05809,06643,
2025-07-27,19:51:46:190,05591,05839,05823,06646,
2025-07-27,19:51:46:436,05619,05847,05943,06675,
2025-07-27,19:51:46:684,05620,05915,06027,06676,
2025-07-27,19:51:46:931,05623,05968,06030,06678,
2025-07-27,19:51:47:178,05625,05968,05169,06546,
2025-07-27,19:51:47:442,05628,05943,05024,05886,
2025-07-27,19:51:47:691,05633,05831,04649,05903,
2025-07-27,19:51:47:938,05660,05922,04986,06099,
2025-07-27,19:51:48:184,05659,05924,04994,06236,
2025-07-27,19:51:48:435,05659,05928,05349,06248,
2025-07-27,19:51:48:685,05652,05928,05342,06323,
2025-07-27,19:51:48:932,05498,05882,05376,06333,
2025-07-27,19:51:49:181,05503,05885,05392,06428,
2025-07-27,19:51:49:428,05505,05881,05549,06480,
2025-07-27,19:51:49:692,05494,05597,05549,06484,
2025-07-27,19:51:49:939,05308,05564,05559,06489,
2025-07-27,19:51:50:187,05222,05235,05702,06556,
2025-07-27,19:51:50:436,05245,04267,05687,06572,
2025-07-27,19:51:50:684,05602,04254,05340,06698,
2025-07-27,19:51:50:929,05629,04700,05356,06687,
2025-07-27,19:51:51:191,05561,04815,05684,06602,
2025-07-27,19:51:51:503,05561,04815,05695,06608,
2025-07-27,19:51:51:751,05896,05640,05786,06611,
2025-07-27,19:51:52:002,05970,05654,05843,06641,
2025-07-27,19:51:52:251,05978,05772,05845,06642,
2025-07-27,19:51:52:500,06026,05778,05852,06644,
2025-07-27,19:51:52:747,06029,05865,05899,06646,
2025-07-27,19:51:52:995,06035,05935,05905,06650,
2025-07-27,19:51:53:241,06065,05941,05939,06655,
2025-07-27,19:51:53:491,06066,05992,05941,06660,
2025-07-27,19:51:53:752,06070,05997,05946,06664,
2025-07-27,19:51:54:002,06075,06054,05976,06666,
2025-07-27,19:51:54:250,06103,06058,05979,06669,
2025-07-27,19:51:54:498,06102,06103,05985,06672,
2025-07-27,19:51:54:744,06102,06104,06008,06674,
2025-07-27,19:51:54:991,06103,06109,06008,06676,
2025-07-27,19:51:55:255,06107,06150,06011,06677,
2025-07-27,19:51:55:490,06134,06153,06015,06679,
2025-07-27,19:51:55:742,06135,06158,06017,06681,
2025-07-27,19:51:56:006,06136,06189,06023,06682,
