DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-13,23:04:50:126,00295,----,
2025-07-13,23:04:50:240,00295,----,
2025-07-13,23:04:50:344,00297,----,
2025-07-13,23:04:50:456,00297,----,
2025-07-13,23:04:50:569,00281,----,
2025-07-13,23:04:50:672,00280,----,
2025-07-13,23:04:50:787,00286,----,
2025-07-13,23:04:50:891,00286,----,
2025-07-13,23:04:51:005,00443,----,
2025-07-13,23:04:51:108,00963,----,
2025-07-13,23:04:51:217,00950,----,
2025-07-13,23:04:51:331,00944,----,
2025-07-13,23:04:51:443,00944,----,
2025-07-13,23:04:51:555,00913,----,
2025-07-13,23:04:51:658,00916,----,
2025-07-13,23:04:51:769,00920,----,
2025-07-13,23:04:51:881,00920,----,
2025-07-13,23:04:51:983,00989,----,
2025-07-13,23:04:52:096,00991,----,
2025-07-13,23:04:52:208,00996,----,
2025-07-13,23:04:52:321,01058,----,
2025-07-13,23:04:52:435,01058,----,
2025-07-13,23:04:52:536,01060,----,
2025-07-13,23:04:52:649,01064,----,
2025-07-13,23:04:52:753,01123,----,
2025-07-13,23:04:52:866,01123,----,
2025-07-13,23:04:52:969,01127,----,
2025-07-13,23:04:53:081,01116,----,
2025-07-13,23:04:53:195,00695,----,
2025-07-13,23:04:53:299,00692,----,
2025-07-13,23:04:53:411,00692,----,
2025-07-13,23:04:53:524,00787,----,
2025-07-13,23:04:53:626,02582,----,
2025-07-13,23:04:53:741,02366,----,
2025-07-13,23:04:53:852,02140,----,
2025-07-13,23:04:53:955,02140,----,
2025-07-13,23:04:54:069,00316,----,
2025-07-13,23:04:54:172,00315,----,
2025-07-13,23:04:54:284,00315,----,
2025-07-13,23:04:54:399,00315,----,
2025-07-13,23:04:54:503,00314,----,
2025-07-13,23:04:54:617,00314,----,
2025-07-13,23:04:54:718,00312,----,
2025-07-13,23:04:54:831,00313,----,
2025-07-13,23:04:54:945,00313,----,
2025-07-13,23:04:55:047,00437,----,
2025-07-13,23:04:55:160,00619,----,
2025-07-13,23:04:55:273,00650,----,
2025-07-13,23:04:55:376,00828,----,
2025-07-13,23:04:55:491,00828,----,
2025-07-13,23:04:55:594,00834,----,
2025-07-13,23:04:55:707,00846,----,
2025-07-13,23:04:55:812,00970,----,
2025-07-13,23:04:55:925,00970,----,
2025-07-13,23:04:56:038,00973,----,
2025-07-13,23:04:56:141,00980,----,
2025-07-13,23:04:56:254,01060,----,
2025-07-13,23:04:56:369,01062,----,
2025-07-13,23:04:56:471,01062,----,
2025-07-13,23:04:56:586,01066,----,
2025-07-13,23:04:56:689,01121,----,
2025-07-13,23:04:56:802,01122,----,
2025-07-13,23:04:56:905,01122,----,
2025-07-13,23:04:57:017,01118,----,
2025-07-13,23:04:57:129,00692,----,
2025-07-13,23:04:57:241,00685,----,
2025-07-13,23:04:57:345,00846,----,
2025-07-13,23:04:57:461,00846,----,
2025-07-13,23:04:57:561,02751,----,
2025-07-13,23:04:57:673,02514,----,
2025-07-13,23:04:57:787,02274,----,
2025-07-13,23:04:57:891,00353,----,
2025-07-13,23:04:58:004,00353,----,
2025-07-13,23:04:58:120,00351,----,
2025-07-13,23:04:58:221,00348,----,
2025-07-13,23:04:58:336,00307,----,
2025-07-13,23:04:58:438,00307,----,
2025-07-13,23:04:58:550,00311,----,
2025-07-13,23:04:58:663,00318,----,
2025-07-13,23:04:58:766,01572,----,
2025-07-13,23:04:58:879,01482,----,
2025-07-13,23:04:58:984,01482,----,
2025-07-13,23:04:59:099,01403,----,
2025-07-13,23:04:59:212,00860,----,
2025-07-13,23:04:59:314,00865,----,
2025-07-13,23:04:59:427,00865,----,
2025-07-13,23:04:59:531,00875,----,
2025-07-13,23:04:59:640,00986,----,
2025-07-13,23:04:59:752,00989,----,
2025-07-13,23:04:59:865,00995,----,
2025-07-13,23:04:59:977,00995,----,
2025-07-13,23:05:00:077,01075,----,
2025-07-13,23:05:00:188,01077,----,
2025-07-13,23:05:00:299,01082,----,
2025-07-13,23:05:00:411,01082,----,
2025-07-13,23:05:00:522,01130,----,
2025-07-13,23:05:00:624,01130,----,
2025-07-13,23:05:00:736,01095,----,
2025-07-13,23:05:00:850,01049,----,
2025-07-13,23:05:00:961,01049,----,
2025-07-13,23:05:01:071,00946,----,
2025-07-13,23:05:01:173,01032,----,
2025-07-13,23:05:01:284,00992,----,
2025-07-13,23:05:01:398,00345,----,
2025-07-13,23:05:01:500,00345,----,
2025-07-13,23:05:01:613,00343,----,
2025-07-13,23:05:01:727,00340,----,
2025-07-13,23:05:01:830,00339,----,
2025-07-13,23:05:01:942,00339,----,
2025-07-13,23:05:02:054,00338,----,
2025-07-13,23:05:02:157,00336,----,
2025-07-13,23:05:02:271,00334,----,
2025-07-13,23:05:02:374,00344,----,
2025-07-13,23:05:02:489,00344,----,
2025-07-13,23:05:02:602,00351,----,
2025-07-13,23:05:02:704,00452,----,
2025-07-13,23:05:02:816,01473,----,
2025-07-13,23:05:02:929,01415,----,
2025-07-13,23:05:03:033,01415,----,
2025-07-13,23:05:03:145,01364,----,
2025-07-13,23:05:03:249,01038,----,
2025-07-13,23:05:03:366,01044,----,
2025-07-13,23:05:03:477,01044,----,
2025-07-13,23:05:03:578,01054,----,
