DeviceNo,,[23082300],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-07,15:08:44:135,03808,----,
2025-07-07,15:08:44:248,03810,----,
2025-07-07,15:08:44:359,03812,----,
2025-07-07,15:08:44:470,03813,----,
2025-07-07,15:08:44:588,03815,----,
2025-07-07,15:08:44:700,03816,----,
2025-07-07,15:08:44:819,03817,----,
2025-07-07,15:08:44:941,03819,----,
2025-07-07,15:08:45:044,03820,----,
2025-07-07,15:08:45:156,03821,----,
2025-07-07,15:08:45:269,03822,----,
2025-07-07,15:08:45:381,03823,----,
2025-07-07,15:08:45:476,03823,----,
2025-07-07,15:08:45:588,03823,----,
2025-07-07,15:08:45:698,03825,----,
2025-07-07,15:08:45:820,03827,----,
2025-07-07,15:08:45:942,03827,----,
2025-07-07,15:08:46:043,03827,----,
2025-07-07,15:08:46:154,03827,----,
2025-07-07,15:08:46:266,03825,----,
2025-07-07,15:08:46:377,03824,----,
2025-07-07,15:08:46:490,03721,----,
2025-07-07,15:08:46:588,03748,----,
2025-07-07,15:08:46:700,03294,----,
2025-07-07,15:08:46:820,03164,----,
2025-07-07,15:08:46:940,03261,----,
2025-07-07,15:08:47:043,03323,----,
2025-07-07,15:08:47:155,03336,----,
2025-07-07,15:08:47:267,03376,----,
2025-07-07,15:08:47:380,03430,----,
2025-07-07,15:08:47:491,03472,----,
2025-07-07,15:08:47:603,03531,----,
2025-07-07,15:08:47:722,03570,----,
2025-07-07,15:08:47:820,03643,----,
2025-07-07,15:08:47:940,03672,----,
2025-07-07,15:08:48:044,03699,----,
2025-07-07,15:08:48:154,03712,----,
2025-07-07,15:08:48:265,03727,----,
2025-07-07,15:08:48:376,03730,----,
2025-07-07,15:08:48:488,03737,----,
2025-07-07,15:08:48:587,03745,----,
2025-07-07,15:08:48:701,03747,----,
2025-07-07,15:08:48:819,03736,----,
2025-07-07,15:08:48:924,03752,----,
2025-07-07,15:08:49:027,03764,----,
2025-07-07,15:08:49:139,03767,----,
2025-07-07,15:08:49:251,03772,----,
2025-07-07,15:08:49:363,03775,----,
2025-07-07,15:08:49:475,03775,----,
2025-07-07,15:08:49:588,03773,----,
2025-07-07,15:08:49:697,03758,----,
2025-07-07,15:08:49:819,03755,----,
2025-07-07,15:08:49:924,03749,----,
2025-07-07,15:08:50:026,03748,----,
2025-07-07,15:08:50:138,03748,----,
2025-07-07,15:08:50:250,03751,----,
2025-07-07,15:08:50:362,03664,----,
2025-07-07,15:08:50:473,02960,----,
2025-07-07,15:08:50:572,03110,----,
2025-07-07,15:08:50:691,03286,----,
2025-07-07,15:08:50:804,03341,----,
2025-07-07,15:08:50:924,03379,----,
2025-07-07,15:08:51:027,03392,----,
2025-07-07,15:08:51:138,03405,----,
2025-07-07,15:08:51:250,03416,----,
2025-07-07,15:08:51:362,03413,----,
2025-07-07,15:08:51:474,03440,----,
2025-07-07,15:08:51:572,03455,----,
2025-07-07,15:08:51:684,03485,----,
2025-07-07,15:08:51:803,03525,----,
2025-07-07,15:08:51:908,03551,----,
2025-07-07,15:08:52:012,03593,----,
2025-07-07,15:08:52:123,03607,----,
2025-07-07,15:08:52:235,03653,----,
2025-07-07,15:08:52:346,03678,----,
2025-07-07,15:08:52:457,03693,----,
2025-07-07,15:08:52:555,03707,----,
2025-07-07,15:08:52:673,03710,----,
2025-07-07,15:08:52:775,03724,----,
2025-07-07,15:08:52:884,03728,----,
2025-07-07,15:08:52:995,03693,----,
2025-07-07,15:08:53:107,03239,----,
2025-07-07,15:08:53:218,03386,----,
2025-07-07,15:08:53:331,03490,----,
2025-07-07,15:08:53:443,03550,----,
2025-07-07,15:08:53:539,03599,----,
2025-07-07,15:08:53:663,03639,----,
2025-07-07,15:08:53:774,03667,----,
2025-07-07,15:08:53:887,03682,----,
2025-07-07,15:08:53:995,03696,----,
2025-07-07,15:08:54:106,03710,----,
2025-07-07,15:08:54:217,03724,----,
2025-07-07,15:08:54:328,03728,----,
2025-07-07,15:08:54:438,03735,----,
2025-07-07,15:08:54:542,03742,----,
2025-07-07,15:08:54:649,03749,----,
2025-07-07,15:08:54:761,03755,----,
2025-07-07,15:08:54:868,03761,----,
2025-07-07,15:08:54:980,03765,----,
2025-07-07,15:08:55:092,03770,----,
2025-07-07,15:08:55:201,03774,----,
2025-07-07,15:08:55:311,03778,----,
2025-07-07,15:08:55:422,03781,----,
2025-07-07,15:08:55:537,03785,----,
2025-07-07,15:08:55:635,03788,----,
2025-07-07,15:08:55:744,03790,----,
2025-07-07,15:08:55:855,03791,----,
2025-07-07,15:08:55:974,03793,----,
2025-07-07,15:08:56:082,03796,----,
2025-07-07,15:08:56:194,03799,----,
2025-07-07,15:08:56:290,03801,----,
2025-07-07,15:08:56:402,03802,----,
2025-07-07,15:08:56:515,03804,----,
2025-07-07,15:08:56:618,03806,----,
2025-07-07,15:08:56:727,03808,----,
2025-07-07,15:08:56:838,03809,----,
2025-07-07,15:08:56:956,03811,----,
2025-07-07,15:08:57:058,03812,----,
2025-07-07,15:08:57:170,03786,----,
2025-07-07,15:08:57:282,03790,----,
2025-07-07,15:08:57:395,03793,----,
2025-07-07,15:08:57:507,03765,----,
2025-07-07,15:08:57:619,03782,----,
2025-07-07,15:08:57:729,03560,----,
2025-07-07,15:08:57:843,03481,----,
2025-07-07,15:08:57:955,03564,----,
2025-07-07,15:08:58:059,03564,----,
2025-07-07,15:08:58:170,03614,----,
2025-07-07,15:08:58:282,03632,----,
2025-07-07,15:08:58:394,03658,----,
2025-07-07,15:08:58:507,03684,----,
2025-07-07,15:08:58:618,03700,----,
2025-07-07,15:08:58:727,03727,----,
2025-07-07,15:08:58:838,03742,----,
2025-07-07,15:08:58:956,03756,----,
2025-07-07,15:08:59:058,03760,----,
2025-07-07,15:08:59:170,03766,----,
2025-07-07,15:08:59:280,03773,----,
2025-07-07,15:08:59:392,03780,----,
2025-07-07,15:08:59:504,03784,----,
2025-07-07,15:08:59:602,03784,----,
2025-07-07,15:08:59:718,03781,----,
2025-07-07,15:08:59:822,03779,----,
2025-07-07,15:08:59:940,03784,----,
2025-07-07,15:09:00:043,03793,----,
2025-07-07,15:09:00:154,03797,----,
2025-07-07,15:09:00:267,03725,----,
2025-07-07,15:09:00:379,03766,----,
2025-07-07,15:09:00:491,03763,----,
2025-07-07,15:09:00:602,03754,----,
2025-07-07,15:09:00:717,03760,----,
2025-07-07,15:09:00:821,03764,----,
2025-07-07,15:09:00:939,03778,----,
