DeviceNo,,[25061405],[--------],
DeviceInfo,,[],[],
DeviceRange,,[20M¦¸],[--],
2025-07-28,20:41:55:134,00888,----,
2025-07-28,20:41:55:242,01244,----,
2025-07-28,20:41:55:350,01389,----,
2025-07-28,20:41:55:459,01489,----,
2025-07-28,20:41:55:567,01564,----,
2025-07-28,20:41:55:690,01633,----,
2025-07-28,20:41:55:797,01700,----,
2025-07-28,20:41:55:904,01732,----,
2025-07-28,20:41:56:012,01785,----,
2025-07-28,20:41:56:120,01809,----,
2025-07-28,20:41:56:228,01850,----,
2025-07-28,20:41:56:336,01871,----,
2025-07-28,20:41:56:443,01893,----,
2025-07-28,20:41:56:552,01915,----,
2025-07-28,20:41:56:677,01935,----,
2025-07-28,20:41:56:771,01258,----,
2025-07-28,20:41:56:893,01022,----,
2025-07-28,20:41:57:002,00935,----,
2025-07-28,20:41:57:110,00965,----,
2025-07-28,20:41:57:218,00965,----,
2025-07-28,20:41:57:326,00979,----,
2025-07-28,20:41:57:436,00979,----,
2025-07-28,20:41:57:543,00980,----,
2025-07-28,20:41:57:650,00993,----,
2025-07-28,20:41:57:759,00993,----,
2025-07-28,20:41:57:867,00993,----,
2025-07-28,20:41:57:974,00911,----,
2025-07-28,20:41:58:098,00845,----,
2025-07-28,20:41:58:194,00845,----,
2025-07-28,20:41:58:314,00892,----,
2025-07-28,20:41:58:424,01158,----,
2025-07-28,20:41:58:531,01327,----,
2025-07-28,20:41:58:639,01442,----,
2025-07-28,20:41:58:740,00929,----,
2025-07-28,20:41:58:857,00883,----,
2025-07-28,20:41:58:966,00904,----,
2025-07-28,20:41:59:074,01201,----,
2025-07-28,20:41:59:182,01374,----,
2025-07-28,20:41:59:290,01495,----,
2025-07-28,20:41:59:400,01598,----,
2025-07-28,20:41:59:508,01636,----,
2025-07-28,20:41:59:619,01700,----,
2025-07-28,20:41:59:728,01751,----,
2025-07-28,20:41:59:836,01775,----,
2025-07-28,20:41:59:958,01820,----,
2025-07-28,20:42:00:068,01859,----,
2025-07-28,20:42:00:190,01881,----,
2025-07-28,20:42:00:300,01906,----,
2025-07-28,20:42:00:408,01933,----,
2025-07-28,20:42:00:516,01955,----,
2025-07-28,20:42:00:627,01971,----,
2025-07-28,20:42:00:732,01918,----,
2025-07-28,20:42:00:838,00976,----,
2025-07-28,20:42:00:947,00982,----,
2025-07-28,20:42:01:056,01005,----,
2025-07-28,20:42:01:163,01006,----,
2025-07-28,20:42:01:272,01019,----,
2025-07-28,20:42:01:380,01032,----,
2025-07-28,20:42:01:504,01032,----,
2025-07-28,20:42:01:599,01033,----,
2025-07-28,20:42:01:708,01010,----,
2025-07-28,20:42:01:817,00886,----,
2025-07-28,20:42:01:942,00800,----,
2025-07-28,20:42:02:050,00799,----,
2025-07-28,20:42:02:158,00799,----,
2025-07-28,20:42:02:258,00883,----,
2025-07-28,20:42:02:374,01150,----,
2025-07-28,20:42:02:481,01344,----,
2025-07-28,20:42:02:588,01476,----,
2025-07-28,20:42:02:697,00896,----,
2025-07-28,20:42:02:804,00895,----,
2025-07-28,20:42:02:912,01014,----,
2025-07-28,20:42:03:033,01297,----,
2025-07-28,20:42:03:142,01454,----,
2025-07-28,20:42:03:251,01560,----,
2025-07-28,20:42:03:360,01642,----,
2025-07-28,20:42:03:466,01705,----,
2025-07-28,20:42:03:574,01733,----,
2025-07-28,20:42:03:681,01789,----,
2025-07-28,20:42:03:788,01817,----,
2025-07-28,20:42:03:896,01867,----,
2025-07-28,20:42:04:018,01900,----,
2025-07-28,20:42:04:126,01933,----,
2025-07-28,20:42:04:233,01951,----,
2025-07-28,20:42:04:341,01972,----,
2025-07-28,20:42:04:448,01993,----,
2025-07-28,20:42:04:557,02022,----,
2025-07-28,20:42:04:665,02046,----,
